James Harden,1,1
Paul George,21,2
Giannis Antetokounmpo,5,3
Joel Embiid,15,4
LeBron James,3,5
Stephen Curry,7,6
Devin Booker,10,7
Kawhi Leonard,54,8
Kevin Durant,6,9
Anthony Davis,2,10
Damian Lillard,4,11
Bradley Beal,17,12
Kemba Walker,20,13
Blake Griffin,16,14
Karl-Anthony Towns,23,15
Kyrie Irving,11,16
Donovan Mitchell,24,17
Zach LaVine,50,18
Russell Westbrook,8,19
Klay Thompson,27,20
Julius Randle,57,21
LaMarcus Aldridge,12,22
Jimmy Butler,19,23
DeMar DeRozan,14,24
Jrue Holiday,31,25
D'Angelo Russell,62,26
CJ McCollum,22,27
Nikola Vucevic,52,28
Buddy Hield,86,29
Nikola Jokic,34,30
JaKarr_Sampson,278,31
Lou Williams,18,32
Jonas Valanciunas,103,33
Danilo Gallinari,63,34
John Collins,149,35
Tim Hardaway Jr.,43,36
Victor Oladipo,13,37
Kyle Kuzma,58,38
Brandon Ingram,56,39
Khris Middleton,25,40
Tobias Harris,30,41
Jamal Murray,49,42
Andrew Wiggins,39,43
Bojan Bogdanovic,73,44
JJ Redick,46,45
Derrick Rose,162,46
Harrison Barnes,32,47
Otto Porter Jr.,67,48
De'Aaron Fox,129,49
RJ_Hunter,254,50
Kevin Love,41,51
Kelly Oubre Jr.,124,52
Pascal Siakam,214,53
Ben Simmons,59,54
Jordan Clarkson,72,55
Spencer Dinwiddie,109,56
Nikola Mirotic,47,57
Clint Capela,80,58
Montrezl Harrell,142,59
DeMarcus Cousins,9,60
Eric Gordon,35,61
Avery Bradley,66,62
Aaron Gordon,40,63
Eric Bledsoe,37,64
Rudy Gobert,88,65
Marc Gasol,45,66
Jayson Tatum,81,67
Jusuf Nurkic,75,68
Chris Paul,33,69
Dennis Schroder,28,70
Reggie Jackson,70,71
Jeremy Lamb,99,72
Evan Fournier,38,73
Terrence Ross,184,74
Serge Ibaka,108,75
Jabari Parker,106,76
Dwyane Wade,121,77
Emmanuel Mudiay,178,78
Dennis Smith Jr.,64,79
Walter Lemon Jr.,293,80
Bobby Portis,92,81
Kyle Lowry,55,82
Trevor Ariza,127,83
Bogdan Bogdanovic,122,84
Enes Kanter,77,85
Steven Adams,83,86
Marcus Morris,85,87
Goran Dragic,44,88
Rudy Gay,134,89
Joe Harris,147,90
Caris LeVert,116,91
Greg Monroe,135,92
Jerami Grant,189,93
Al Horford,98,94
Taurean Prince,78,95
Carmelo Anthony,53,96
Myles Turner,104,97
Wesley Matthews,105,98
Jaylen Brown,71,99
Kenneth Faried,242,101
Gary Harris,42,102
Dwight Howard,51,103
Ricky Rubio,95,104
Paul Millsap,69,105
Justise Winslow,204,106
Thaddeus Young,126,107
Brook Lopez,96,108
Jeff Green,146,109
Hassan Whiteside,79,110
Rodney Hood,48,111
Delon Wright,196,112
Reggie Bullock,136,113
Jeff Teague,76,114
Wayne Ellington,138,115
Dion Waiters,74,116
Willie Cauley-Stein,102,117
Jae Crowder,123,118
E'Twaun Moore,110,119
Trey Burke,101,120
Derrick Favors,112,121
Bryn Forbes,219,122
D.J. Augustin,152,123
Kent Bazemore,100,124
Alec Burks,205,125
Will Barton,60,126
Josh Jackson,94,127
Markieff Morris,133,128
Tyler Zeller,217,129
Kentavious Caldwell-Pope,89,130
Malik Beasley,299,131
Robert Covington,107,132
Kris Dunn,90,133
DeMarre Carroll,87,134
Tyler Johnson,128,135
Alex Len,186,136
Dario Saric,68,137
DeAndre Jordan,119,138
Fred VanVleet,185,139
Jarrett Allen,193,140
J.J. Barea,130,141
Tristan Thompson,248,142
Dewayne Dedmon,158,143
Taj Gibson,115,144
George Hill,150,145
Jeremy Lin,36,147
Elfrid Payton,97,148
Dwight Powell,187,149
Marco Belinelli,84,150
Thomas Bryant,310,151
Tyreke Evans,29,153
Marvin Williams,166,154
Kelly Olynyk,132,155
Lonzo Ball,153,156
Patty Mills,159,157
JaMychal Green,151,159
Luke Kennard,207,160
Nemanja Bjelica,223,161
Allen Crabbe,91,162
Jonathan Isaac,254,163
Justin Holiday,113,164
Robin Lopez,125,165
Larry Nance Jr.,175,166
Shabazz Napier,181,167
Garrett Temple,188,168
Ivica Zubac,286,169
Nicolas Batum,131,170
CJ Miles,157,171
Gerald Green,117,172
Kyle Korver,170,173
Terry Rozier,137,174
Bam Adebayo,218,175
Rondae Hollis-Jefferson,82,176
Malik Monk,225,177
Iman Shumpert,273,178
Marcus Smart,154,179
Ish Smith,144,180
Mario Hezonja,164,181
Trey Lyles,161,182
Austin Rivers,65,183
Frank Kaminsky,139,184
Norman Powell,252,185
DeAndre' Bembry,260,186
Langston Galloway,235,187
Bruno Caboclo,307,188
Markelle Fultz,215,189
Richaun Holmes,229,190
Justin Jackson,224,191
Boban Marjanovic,233,192
Jahlil Okafor,231,193
Cameron Payne,177,194
Isaiah Thomas,61,195
Kyle Anderson,203,196
Davis Bertans,239,197
Wayne Selden,169,198
Josh Hart,202,199
James Johnson,145,200
Mason Plumlee,216,201
Mike Scott,179,202
Ante Zizic,285,203
Maurice Harkless,228,204
Patrick Beverley,114,205
Corey Brewer,155,206
Rodney McGruder,262,207
Dillon Brooks,140,208
Isaiah Canaan,172,209
Dorian Finney-Smith,240,210
Stanley Johnson,183,211
Chandler Parsons,198,212
Vince Carter,256,213
James Ennis III,210,214
Draymond Green,141,215
Mike Muscala,208,216
Dwayne Bacon,294,217
Antonio Blakeney,197,218
Willy Hernangomez,236,219
Doug McDermott,173,220
Dirk Nowitzki,120,221
Lance Stephenson,171,222
OG Anunoby,243,223
Michael Beasley,93,224
Derrick Jones Jr.,313,225
Quinn Cook,167,226
Dante Exum,195,227
Tyus Jones,263,228
Ersan Ilyasova,143,229
Maxi Kleber,255,230
Timothe Luwawu-Cabarrot,247,231
Evan Turner,192,232
Wilson Chandler,160,233
Ian Clark,213,234
JR Smith,191,235
MarShon Brooks,26,236
Shaquille Harrison,226,237
David Nwaba,199,238
Sterling Brown,281,239
Gorgui Dieng,241,240
T.J. McConnell,232,241
Sam Dekker,275,242
Tim Frazier,302,243
Jonas Jerebko,246,244
Kevon Looney,280,245
Troy Daniels,176,246
Jerryd Bayless,201,247
Nik Stauskas,261,248
Tony Snell,222,249
Meyers Leonard,292,250
Ed Davis,259,251
Juancho Hernangomez,295,252
Ivan Rabb,251,253
Tony Bradley,303,254
Marquese Chriss,206,255
Andre Iguodala,237,256
Aron Baynes,238,257
Thon Maker,266,258
Jakob Poeltl,220,259
Alex Abrines,267,260
Raul Neto,272,261
Royce O'Neale,264,262
Jalen Jones,245,263
Frank Mason,200,264
Dragan Bender,227,265
Marcin Gortat,190,266
Wes Iwundu,287,267
Luc Mbah a Moute,211,268
Anthony Tolliver,174,269
Jared Dudley,298,270
Damion Lee,148,271
Khem Birch,274,272
Courtney Lee,118,273
Johnathan Motley,180,274
Lance Thomas,278,275
Bismack Biyombo,249,276
Michael Carter-Williams,271,277
Raymond Felton,221,278
Andrew Harrison,165,279
Pau Gasol,156,280
Glenn Robinson III,277,281
Ian Mahinmi,265,282
Deyonta Davis,244,283
Cristiano Felicio,250,284
Abdel Nader,300,285
Jason Smith,291,286
Amir Johnson,269,287
Ben McLemore,209,288
Zaza Pachulia,258,289
Jon Leuer,253,290
Thabo Sefolosha,194,291
Justin Anderson,234,292
Ryan Anderson,168,293
Tyson Chandler,230,294
Demetrius Jackson,304,295
Wesley Johnson,257,296
Gary Payton II,289,297
Patrick Patterson,283,298
Alan Williams,279,299
Tyrone Wallace,163,300
Skal Labissiere,182,301
Jordan Bell,270,302
Semi Ojeleye,306,303
Milos Teodosic,111,304
Nigel Hayes,288,305
Rashad Vaughn,305,306
Malcolm Miller,308,307
Edmond Sumner,309,308
Brice Johnson,301,309
Troy Williams,212,310
Jake Layman,311,311
Charles Cooke,290,312
Chris Boucher,315,313
Nicolas Brussino,312,314
Tyler Lydon,314,315
